Year,County,Region,Child Population,% of Children in Total Population,Total Population
2023,Limestone,7-Austin,5189,22,23579
2023,Lipscomb,1-Lubbock,945,25,3773
2023,Live Oak,11-Edinburg,2604,21,12187
2023,Llano,7-Austin,3303,17,19515
2023,Loving,9-Midland,14,15,93
2023,Lubbock,1-Lubbock,78051,24,331479
2023,Lynn,1-Lubbock,1285,23,5498
2023,Madison,7-Austin,3450,23,14868
2023,Marion,4-Tyler,1962,19,10129
2023,Martin,9-Midland,1813,28,6507
2023,Mason,9-Midland,783,20,3907
2023,Matagorda,6-Houston,9039,24,37013
2023,Maverick,8-San Antonio,18027,29,61567
2023,McCulloch,9-Midland,1949,22,8761
2023,McLennan,7-Austin,65382,25,258302
2023,McMullen,11-Edinburg,132,17,787
2023,Medina,8-San Antonio,11632,22,52122
2023,Menard,9-Midland,425,19,2181
2023,Midland,9-Midland,58660,28,208108
2023,Milam,7-Austin,5820,24,24589
2023,Mills,7-Austin,1062,22,4843
2023,Mitchell,2-Abilene,1975,20,10004
2023,Montague,2-Abilene,4243,22,19038
2023,Montgomery,6-Houston,163966,24,672131
2023,Moore,1-Lubbock,6110,28,21492
2023,Morris,4-Tyler,2716,22,12262
2023,Motley,1-Lubbock,198,17,1155
2023,Nacogdoches,5-Beaumont,13237,21,64255
2023,Navarro,3-Arlington,11255,23,47930
2023,Newton,5-Beaumont,2596,19,13522
2023,Nolan,2-Abilene,4034,26,15791
2023,Nueces,11-Edinburg,99120,25,397902
2023,Ochiltree,1-Lubbock,3356,29,11673
2023,Oldham,1-Lubbock,539,24,2225
2023,Orange,5-Beaumont,19810,23,87289
2023,Palo Pinto,3-Arlington,6095,22,27728
2023,Panola,4-Tyler,5942,24,24758
2023,Parker,3-Arlington,32461,23,142025
2023,Parmer,1-Lubbock,2395,27,8902
2023,Pecos,9-Midland,4077,24,16714
2023,Polk,5-Beaumont,9711,19,50249
2023,Potter,1-Lubbock,29734,24,122803
2023,Presidio,10-El Paso,1279,23,5471
2023,Rains,4-Tyler,2258,20,11488
2023,Randall,1-Lubbock,34716,24,144824
2023,Reagan,9-Midland,1235,27,4526
2023,Real,8-San Antonio,735,21,3425
2023,Red River,4-Tyler,2592,21,12469
2023,Reeves,9-Midland,3588,22,16363
2023,Refugio,11-Edinburg,1770,23,7609
2023,Roberts,1-Lubbock,218,22,997
2023,Robertson,7-Austin,3708,22,16952
2023,Rockwall,3-Arlington,24871,22,110757
2023,Runnels,2-Abilene,2614,23,11200
2023,Rusk,4-Tyler,11219,21,52584
2023,Sabine,5-Beaumont,1826,19,9660
2023,San Augustine,5-Beaumont,1646,20,8281
2023,San Jacinto,5-Beaumont,6621,22,29559
2023,San Patricio,11-Edinburg,18698,25,73464
2023,San Saba,7-Austin,1189,20,5830
2023,Schleicher,9-Midland,831,25,3346
2023,Scurry,2-Abilene,4738,25,18877
2023,Shackelford,2-Abilene,801,23,3429
2023,Shelby,5-Beaumont,6568,26,25449
2023,Sherman,1-Lubbock,851,25,3350
2023,Smith,4-Tyler,58187,24,242371
2023,Somervell,3-Arlington,2030,21,9591
2023,Starr,11-Edinburg,19961,30,65498
2023,Stephens,2-Abilene,2158,23,9557
2023,Sterling,9-Midland,258,20,1275
2023,Stonewall,2-Abilene,304,20,1530
2023,Sutton,9-Midland,1005,23,4449
2023,Swisher,1-Lubbock,1678,23,7295
2023,Tarrant,3-Arlington,552414,25,2249878
2023,Taylor,2-Abilene,34484,24,141675
2023,Terrell,9-Midland,206,19,1057
2023,Terry,1-Lubbock,3511,27,13220
2023,Throckmorton,2-Abilene,310,21,1500
2023,Titus,4-Tyler,8978,27,33009
2023,Tom Green,9-Midland,28766,23,127703
2023,Travis,7-Austin,295952,22,1368139
2023,Trinity,5-Beaumont,2615,19,14063
2023,Tyler,5-Beaumont,4293,20,21214
2023,Upshur,4-Tyler,9217,22,42416
2023,Upton,9-Midland,1052,25,4184
2023,Uvalde,8-San Antonio,7070,25,28659
2023,Val Verde,8-San Antonio,13278,28,48025
2023,Van Zandt,4-Tyler,12722,23,56353
2023,Victoria,8-San Antonio,23634,23,101205
2023,Walker,6-Houston,13927,18,76250
2023,Waller,6-Houston,11903,22,53060
2023,Ward,9-Midland,4319,29,14798
2023,Washington,7-Austin,7739,22,35536
2023,Webb,11-Edinburg,80830,29,283493
2023,Wharton,6-Houston,10412,25,42092
2023,Wheeler,1-Lubbock,1480,25,5869
2023,Wichita,2-Abilene,29276,22,133295
2023,Wilbarger,2-Abilene,2864,22,12838
2023,Willacy,11-Edinburg,5310,24,22053
2023,Williamson,7-Austin,156533,24,652186
2023,Wilson,8-San Antonio,11797,22,54807
2023,Winkler,9-Midland,3167,31,10146
2023,Wise,3-Arlington,15074,22,67825
2023,Wood,4-Tyler,9258,20,46166
2023,Yoakum,1-Lubbock,3069,31,9763
2023,Young,2-Abilene,4492,24,18779
2023,Zapata,11-Edinburg,4517,31,14428
2023,Zavala,8-San Antonio,3986,31,12978
2022,Anderson,4-Tyler,10633,18,58094
2022,Andrews,9-Midland,7531,31,24369
2022,Angelina,5-Beaumont,23087,25,91022
2022,Aransas,11-Edinburg,5512,19,28757
2022,Archer,2-Abilene,1675,20,8264
2022,Armstrong,1-Lubbock,348,18,1947
2022,Atascosa,8-San Antonio,13817,26,53493
2022,Austin,6-Houston,6998,23,30805
2022,Bailey,1-Lubbock,2339,30,7810
2022,Bandera,8-San Antonio,3450,16,21389
2022,Bastrop,7-Austin,21221,24,88616
2022,Baylor,2-Abilene,829,23,3617
2022,Bee,11-Edinburg,7741,22,34943
2022,Bell,7-Austin,104696,29,362136
2022,Bexar,8-San Antonio,550297,25,2174191
2022,Blanco,7-Austin,2110,18,11694
2022,Borden,9-Midland,114,16,698
2022,Bosque,7-Austin,3729,21,17682
2022,Bowie,4-Tyler,19213,21,92441
2022,Brazoria,6-Houston,95606,25,389844
2022,Brazos,7-Austin,52008,22,237611
2022,Brewster,10-El Paso,2043,23,9067
2022,Briscoe,1-Lubbock,305,20,1556
2022,Brooks,11-Edinburg,1845,26,7153
2022,Brown,2-Abilene,8328,21,38984
2022,Burleson,7-Austin,4018,23,17841
2022,Burnet,7-Austin,10643,22,49329
2022,Caldwell,7-Austin,11267,25,45617
2022,Calhoun,8-San Antonio,5687,25,23065
2022,Callahan,2-Abilene,2516,19,13478
2022,Cameron,11-Edinburg,123437,29,431026
2022,Camp,4-Tyler,3329,25,13515
2022,Carson,1-Lubbock,1295,22,5768
2022,Cass,4-Tyler,6658,22,30203
2022,Castro,1-Lubbock,1869,27,6938
2022,Chambers,6-Houston,11327,26,44194
2022,Cherokee,4-Tyler,13109,25,52350
2022,Childress,1-Lubbock,1413,20,7045
2022,Clay,2-Abilene,1849,19,9584
2022,Cochran,1-Lubbock,969,28,3402
2022,Coke,9-Midland,622,19,3201
2022,Coleman,2-Abilene,1948,23,8406
2022,Collin,3-Arlington,264420,24,1099759
2022,Collingsworth,1-Lubbock,876,27,3255
2022,Colorado,6-Houston,4991,23,21353
2022,Comal,8-San Antonio,34813,22,157195
2022,Comanche,2-Abilene,2924,23,12878
2022,Concho,9-Midland,579,14,4153
2022,Cooke,3-Arlington,8948,22,39967
2022,Coryell,7-Austin,19340,24,79108
2022,Cottle,2-Abilene,300,20,1510
2022,Crane,9-Midland,1922,29,6667
2022,Crockett,9-Midland,998,24,4088
2022,Crosby,1-Lubbock,1672,26,6547
2022,Culberson,10-El Paso,435,20,2212
2022,Dallam,1-Lubbock,2287,31,7353
